Name,Description,Latitude ,Longitude,InfoURL,ImageURL
UCSB,A great university located along the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California, _Santa_Barbara",https://web.physics.ucsb.edu/~Women/images/ucsb- big.jpg
Pike Place Market,Have the world's first Starbuck and delicious yoghurt.,47.610501,-122.342515,https://en.wikipedia.org/wiki/Pike_Place_Market,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Pike_Place_Market_Seattle.jpg/500px-Pike_Place_Market_Seattle.jpg
UCDavis,A good public research university in north California. The campus have a lot of cows for agriculture research topics.,38.543728,-121.748279,"https://en.wikipedia.org/wiki/University_of_California,_Davis",https://upload.wikimedia.org/wikipedia/commons/a/ab/UC_Davis_Mondavi_Center.jpg
The Great Wall of China,"The symbol of China, function as a guard for the country",40.432185,116.570386,https://en.wikipedia.org/wiki/Great_Wall_of_China,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/The_Great_Wall_of_China_at_Jinshanling-edit.jpg/1920px-The_Great_Wall_of_China_at_Jinshanling-edit.jpg
Sensoji Temple,"An ancient Buddhist temple located in Tokyo, Japan. People can wear kimono and take pictures here.  ",35.714931,139.796655,https://en.wikipedia.org/wiki/Sens%C5%8D-ji,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Sensoji_at_night_8.jpg/1920px-Sensoji_at_night_8.jpg
Stearns Wharf,A signuture harbor in Santa Barbara. Has some delicious restaurants and fabulous see view. People can aslo see amazing sunset here.,34.410207,-119.685506,https://en.wikipedia.org/wiki/Stearns_Wharf,https://upload.wikimedia.org/wikipedia/commons/8/8c/Santa_Barbara_Pier_by_Don_Ramey_Logan.jpg
